metric,model,tokens_per_second,stddev,backend,date_run
pp512,Qwen3 30B A3B Q4_K_M,3465.667964,35.002091,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222180
pp512,Qwen3 30B A3B Q5_K_M,3406.697831,46.111565,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222518
pp512,Ornith 35B UD-Q4_K_XL,3078.831772,13.130063,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785226074
pp512,Qwen3 30B A3B UD-Q5_K_XL,2361.572819,21.494175,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785224296
pp512,Muse Glimmer 30B UD-Q6_K_XL,964.594429,28.493971,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1786372933
pp512,Muse Glimmer 30B UD-Q2_K_XL,858.34113,6.527583,NVIDIA GeForce RTX 5060 Ti,1786457240
tg128,Qwen3 30B A3B Q4_K_M,99.216895,1.478756,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222180
tg128,Qwen3 30B A3B Q5_K_M,98.882479,1.203119,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222518
tg128,Qwen3 30B A3B UD-Q5_K_XL,96.541275,0.729358,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785224296
tg128,Ornith 35B UD-Q4_K_XL,77.596938,1.017136,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785226074
tg128,Muse Glimmer 30B UD-Q2_K_XL,31.651377,0.067766,NVIDIA GeForce RTX 5060 Ti,1786457240
tg128,Muse Glimmer 30B UD-Q6_K_XL,22.17093,0.004357,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1786372933
pp512@d4096,Qwen3 30B A3B Q5_K_M,2792.315142,93.689227,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222518
pp512@d4096,Qwen3 30B A3B UD-Q5_K_XL,2787.714765,73.571102,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785224296
pp512@d4096,Qwen3 30B A3B Q4_K_M,2774.308854,163.684584,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222180
pp512@d4096,Ornith 35B UD-Q4_K_XL,2676.15408,24.726228,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785226074
pp512@d4096,Muse Glimmer 30B UD-Q6_K_XL,914.753032,12.346802,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1786372933
pp512@d4096,Muse Glimmer 30B UD-Q2_K_XL,823.617619,6.708257,NVIDIA GeForce RTX 5060 Ti,1786457240
tg128@d4096,Qwen3 30B A3B UD-Q5_K_XL,92.50406,1.281146,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785224296
tg128@d4096,Qwen3 30B A3B Q4_K_M,92.406331,1.184362,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222180
tg128@d4096,Qwen3 30B A3B Q5_K_M,92.123427,1.03588,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785222518
tg128@d4096,Ornith 35B UD-Q4_K_XL,76.702097,1.304331,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1785226074
tg128@d4096,Muse Glimmer 30B UD-Q2_K_XL,30.467463,0.005422,NVIDIA GeForce RTX 5060 Ti,1786457240
tg128@d4096,Muse Glimmer 30B UD-Q6_K_XL,21.963935,0.00507,"AMD Radeon AI PRO R9700, AMD Ryzen 7 7700 8-Core Processor",1786372933
